experiment,stage,data_type,layer,minimum,maximum,maximum_abs,smallest_nonzero,zero_percent,observed_min_spacing,dynamic_range,FP16_range_ok,FP16_result,FP8_E4M3_range_ok,FP8_E4M3_result,FP8_E5M2_range_ok,FP8_E5M2_result,INT8_scale,INT8_quantization_step,INT8_zero_threshold,INT8_smallest_may_be_lost,INT8_result,INT16_scale,INT16_quantization_step,INT16_zero_threshold,INT16_smallest_may_be_lost,INT16_result
MobileNetV2_CIFAR100,inference,weights,features.5.conv.1.1.weight,1.0,1.0,1.0,1.0,0.0,0.0,1.0,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.007874015748031496,0.007874015748031496,0.003937007874015748,False,RANGE/STEP APPEARS ADEQUATE,3.051850947599719e-05,3.051850947599719e-05,1.5259254737998596e-05,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.5.conv.2.weight,-0.9430081844329834,0.9157354235649108,0.9430081844329834,0.0001573365298099,0.0,2.9802322387695312e-08,5993.574318515617,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.0074252612947479,0.0074252612947479,0.00371263064737395,True,SMALL VALUES MAY BE LOST,2.877920421256091e-05,2.877920421256091e-05,1.4389602106280455e-05,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.5.conv.3.weight,1.0,1.0,1.0,1.0,0.0,0.0,1.0,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.007874015748031496,0.007874015748031496,0.003937007874015748,False,RANGE/STEP APPEARS ADEQUATE,3.051850947599719e-05,3.051850947599719e-05,1.5259254737998596e-05,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.6.conv.0.0.weight,-0.4242878258228302,0.3905549049377441,0.4242878258228302,1.3548371498472989e-05,0.0,4.0978193283081055e-08,31316.518436968672,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.0033408490222270096,0.0033408490222270096,0.0016704245111135048,True,SMALL VALUES MAY BE LOST,1.294863203292429e-05,1.294863203292429e-05,6.474316016462145e-06,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.6.conv.0.1.weight,1.0,1.0,1.0,1.0,0.0,0.0,1.0,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.007874015748031496,0.007874015748031496,0.003937007874015748,False,RANGE/STEP APPEARS ADEQUATE,3.051850947599719e-05,3.051850947599719e-05,1.5259254737998596e-05,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.6.conv.1.0.weight,-0.1022222787141799,0.1087948009371757,0.1087948009371757,1.4508409549307544e-05,0.0,3.166496753692627e-08,7498.740683286559,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.0008566519758832732,0.0008566519758832732,0.0004283259879416366,True,SMALL VALUES MAY BE LOST,3.3202551633404245e-06,3.3202551633404245e-06,1.6601275816702123e-06,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.6.conv.1.1.weight,1.0,1.0,1.0,1.0,0.0,0.0,1.0,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.007874015748031496,0.007874015748031496,0.003937007874015748,False,RANGE/STEP APPEARS ADEQUATE,3.051850947599719e-05,3.051850947599719e-05,1.5259254737998596e-05,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.6.conv.2.weight,-0.94160658121109,0.8152391314506531,0.94160658121109,3.2782503694761544e-05,0.0,2.9802322387695312e-08,28722.83916989395,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.00741422504890622,0.00741422504890622,0.00370711252445311,True,SMALL VALUES MAY BE LOST,2.873642937135197e-05,2.873642937135197e-05,1.4368214685675985e-05,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.6.conv.3.weight,1.0,1.0,1.0,1.0,0.0,0.0,1.0,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.007874015748031496,0.007874015748031496,0.003937007874015748,False,RANGE/STEP APPEARS ADEQUATE,3.051850947599719e-05,3.051850947599719e-05,1.5259254737998596e-05,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.7.conv.0.0.weight,-0.3756794929504394,0.3338503837585449,0.3756794929504394,4.1368937672814354e-05,0.0,1.4901161193847656e-08,9081.197489809307,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.002958106243704247,0.002958106243704247,0.0014790531218521236,True,SMALL VALUES MAY BE LOST,1.1465178165545805e-05,1.1465178165545805e-05,5.732589082772902e-06,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.7.conv.0.1.weight,1.0,1.0,1.0,1.0,0.0,0.0,1.0,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.007874015748031496,0.007874015748031496,0.003937007874015748,False,RANGE/STEP APPEARS ADEQUATE,3.051850947599719e-05,3.051850947599719e-05,1.5259254737998596e-05,False,RANGE/STEP APPEARS ADEQUATE
